SKU,Descripcion,Categoria,Precio unitario,Consumo anual,Lead time (dias),Criticidad equipo (1-5),Horas parada si falla,N proveedores,Stock actual
SP-1000,Rodamiento rigido de bolas 6210,Rodamientos,60.3,77,8,4,29,3,16
SP-1001,Rodamiento a rodillos conicos 32216,Rodamientos,274.24,14,26,3,29,1,0
SP-1002,Sello mecanico bomba centrifuga 3x2,Sellos,392.53,40,38,5,22,1,0
SP-1003,Sello mecanico cartucho API 682,Sellos,1523.87,16,65,5,14,1,9
SP-1004,Correa en V C-120,Transmision,47.27,109,13,2,21,4,0
SP-1005,Correa dentada HTD 8M-1600,Transmision,150.84,52,17,3,17,1,20
SP-1006,Filtro hidraulico 10 micrones,Filtracion,78.28,41,17,3,10,4,6
SP-1007,"Cartucho filtrante 5 um 40""",Filtracion,23.86,31,21,3,27,5,20
SP-1008,Membrana osmosis inversa 8040,Tratamiento,832.45,17,93,5,42,1,11
SP-1009,Resina cationica fuerte (saco 25L),Tratamiento,364.37,26,66,4,41,2,3
SP-1010,Valvula mariposa DN150 wafer,Valvulas,690.89,30,44,4,30,3,15
SP-1011,"Valvula de bola inox 2"" 3 piezas",Valvulas,251.71,18,24,3,6,4,3
SP-1012,Actuador neumatico doble efecto,Valvulas,1059.94,16,34,4,37,2,12
SP-1013,Motor electrico 15 kW 4 polos,Motores,2927.94,13,79,5,17,2,8
SP-1014,Motor electrico 55 kW 4 polos,Motores,5966.68,9,91,5,53,1,5
SP-1015,Bomba centrifuga 65-200 (repuesto),Bombas,6412.22,6,139,5,21,1,3
SP-1016,Impulsor bomba 65-200,Bombas,1064.92,15,77,5,19,2,4
SP-1017,Variador de frecuencia 22 kW,Electrico,2593.69,3,51,5,15,1,2
SP-1018,Contactor tripolar 65 A,Electrico,100.75,62,15,3,17,4,18
SP-1019,Rele termico 30-40 A,Electrico,100.51,40,15,3,23,4,12
SP-1020,Tarjeta PLC entradas analogicas,Instrumentos,1107.82,21,74,5,49,1,8
SP-1021,Transmisor de presion 0-10 bar,Instrumentos,432.51,33,35,4,24,3,16
SP-1022,Sensor de flujo electromagnetico DN80,Instrumentos,2135.86,16,81,5,39,1,8
SP-1023,Sensor de nivel ultrasonico,Instrumentos,996.97,16,61,4,34,2,3
SP-1024,"Manguera hidraulica R2 1"" (metro)",Fluidos,26.13,63,10,1,3,5,33
SP-1025,Acople flexible tipo grilla,Transmision,248.02,39,25,3,34,2,23
SP-1026,Empaquetadura grafitada (kg),Sellos,83.71,53,30,2,12,3,24
SP-1027,Piston neumatico ISO 63x200,Neumatica,435.34,15,30,3,31,3,0
SP-1028,Electrovalvula 5/2 24 VDC,Neumatica,139.25,61,20,3,35,4,0
SP-1029,Compresor de aire (kit reparacion),Neumatica,1790.55,17,67,5,37,2,8
SP-1030,Reductor de velocidad i=20,Transmision,5907.07,5,121,5,55,1,2
SP-1031,Chumacera SNL 517,Rodamientos,316.91,10,41,3,33,2,2
SP-1032,Bomba dosificadora de diafragma,Dosificacion,2336.48,9,72,4,47,1,0
