SKU,Descripcion,Categoria,Equipo,Origen,Unidad,Almacen,Precio unitario,Consumo anual,Lead time (dias),Criticidad equipo (1-5),Horas parada si falla,N proveedores,Stock actual
RB-10000,Membrana de osmosis inversa 8040 baja presion,Tratamiento de agua,Planta RO,Importado,un,BOD-CENTRAL,909.58,9,86,4,21,2,2
RB-10001,Portamembrana FRP 8040 300 psi,Tratamiento de agua,Planta RO,Importado,un,BOD-CENTRAL,1016.16,1,90,4,28,2,1
RB-10002,"Cartucho filtrante bobinado 5 um 40""",Tratamiento de agua,Prefiltracion RO,Nacional,un,BOD-CENTRAL,13.29,408,10,3,25,4,257
RB-10003,"Cartucho filtrante plisado 1 um 30""",Tratamiento de agua,Pulido final,Nacional,un,BOD-CENTRAL,35.83,136,11,3,15,4,45
RB-10004,Resina cationica fuerte para ablandador,Tratamiento de agua,Ablandador,Importado,saco 25 L,BOD-CENTRAL,267.3,6,61,3,11,3,0
RB-10005,Resina anionica base fuerte,Tratamiento de agua,Desmineralizador,Importado,saco 25 L,BOD-CENTRAL,486.98,2,67,3,19,2,0
RB-10006,Valvula multipuerto automatica ablandador,Tratamiento de agua,Ablandador,Importado,un,BOD-CENTRAL,1768.42,0,84,3,24,2,0
RB-10007,Lampara germicida UV 320 W,Tratamiento de agua,Esterilizador UV,Importado,un,BOD-CENTRAL,370.12,11,47,4,32,2,4
RB-10008,Funda de cuarzo para lampara UV,Tratamiento de agua,Esterilizador UV,Importado,un,BOD-CENTRAL,146.95,3,46,4,16,2,1
RB-10009,Balastro electronico UV,Tratamiento de agua,Esterilizador UV,Importado,un,BOD-CENTRAL,763.74,1,70,4,29,1,1
RB-10010,Bomba centrifuga multietapa 15 kW alta presion,Tratamiento de agua,Bombeo RO,Importado,un,BOD-CENTRAL,7464.8,0,111,4,17,2,1
RB-10011,Sensor de conductividad inductivo,Tratamiento de agua,Control RO,Importado,un,BOD-CENTRAL,815.94,1,57,3,21,3,1
RB-10012,Electrodo de pH con cable integrado,Tratamiento de agua,Control de proceso,Importado,un,BOD-CENTRAL,221.04,20,31,3,5,4,0
RB-10013,Bomba dosificadora de diafragma 10 L/h,Tratamiento de agua,Dosificacion,Importado,un,BOD-CENTRAL,1628.69,1,64,3,18,3,0
RB-10014,Diafragma PTFE para bomba dosificadora,Tratamiento de agua,Dosificacion,Importado,un,BOD-CENTRAL,153.64,18,47,3,8,3,10
RB-10015,Manguera de succion PVC reforzada dosificacion,Tratamiento de agua,Dosificacion,Nacional,m,BOD-CENTRAL,7.9,89,9,2,11,4,26
RB-10016,Medio filtrante antracita,Tratamiento de agua,Filtro multimedia,Nacional,saco 25 kg,BOD-CENTRAL,188.18,1,27,3,11,2,0
RB-10017,"Arena silicea filtrante 0,6 mm",Tratamiento de agua,Filtro multimedia,Nacional,saco 25 kg,BOD-CENTRAL,35.72,6,19,3,10,4,0
RB-10018,Carbon activado granular vegetal,Tratamiento de agua,Filtro de carbon,Importado,saco 25 kg,BOD-CENTRAL,278.41,8,43,3,9,2,3
RB-10019,Sello mecanico sanitario simple 35 mm,Jaraberia,Bomba de jarabe,Importado,un,BOD-CENTRAL,559.93,13,59,4,7,1,3
RB-10020,"Bomba centrifuga sanitaria 5,5 kW inox 316",Jaraberia,Trasiego de jarabe,Importado,un,BOD-CENTRAL,4259.55,0,123,4,19,2,1
RB-10021,Rodete inox para bomba sanitaria,Jaraberia,Trasiego de jarabe,Importado,un,BOD-CENTRAL,1017.38,1,103,4,27,2,0
RB-10022,Placa de intercambiador de calor AISI 316,Jaraberia,Intercambiador de placas,Importado,un,BOD-CENTRAL,149.39,33,62,4,18,2,13
RB-10023,Junta NBR para placa de intercambiador,Jaraberia,Intercambiador de placas,Importado,un,BOD-CENTRAL,23.54,245,50,4,17,3,108
RB-10024,Valvula mariposa sanitaria DN65 clamp,Jaraberia,Distribucion de jarabe,Importado,un,BOD-CENTRAL,190.56,24,36,3,19,2,28
RB-10025,Kit de sellos EPDM para valvula sanitaria DN65,Jaraberia,Distribucion de jarabe,Importado,un,BOD-CENTRAL,26.42,131,36,3,25,3,19
RB-10026,Agitador de paletas 3 kW con reductor,Jaraberia,Tanque de jarabe simple,Importado,un,BOD-CENTRAL,4713.72,0,118,3,17,2,1
RB-10027,Reten de eje para agitador sanitario,Jaraberia,Tanque de jarabe simple,Importado,un,BOD-CENTRAL,252.1,4,58,3,6,2,1
RB-10028,Filtro de bolsa 100 um sanitario,Jaraberia,Filtracion de jarabe,Nacional,un,BOD-CENTRAL,13.61,338,15,3,17,4,54
RB-10029,Caudalimetro masico Coriolis DN50,Jaraberia,Dosificacion de jarabe,Importado,un,BOD-CENTRAL,15753.24,0,143,5,25,1,2
RB-10030,Refractometro en linea Brix,Jaraberia,Control de Brix,Importado,un,BOD-CENTRAL,12468.58,0,114,4,13,1,1
RB-10031,"Manguera sanitaria silicona 2"" con clamp",Jaraberia,Trasiego,Importado,m,BOD-CENTRAL,126.12,26,41,3,8,3,8
RB-10032,"Empaquetadura clamp EPDM 2""",Jaraberia,Uniones sanitarias,Nacional,un,BOD-CENTRAL,4.36,427,12,3,10,5,140
RB-10033,Valvula moduladora de CO2 con posicionador,Carbonatacion,Carbo-cooler,Importado,un,BOD-CENTRAL,3887.36,0,137,5,23,1,1
RB-10034,Sensor de CO2 disuelto en linea,Carbonatacion,Control de carbonatacion,Importado,un,BOD-CENTRAL,8654,0,120,4,22,1,1
RB-10035,Bomba de vacio de anillo liquido 4 kW,Carbonatacion,Desaireador,Importado,un,BOD-CENTRAL,6376.71,0,115,4,27,2,1
RB-10036,Boquilla de aspersion desaireador inox,Carbonatacion,Desaireador,Importado,un,BOD-CENTRAL,126.13,10,76,4,11,2,4
RB-10037,Transmisor de presion sanitario 0-10 bar,Carbonatacion,Mezclador,Importado,un,BOD-CENTRAL,1218.51,4,80,4,8,2,1
RB-10038,Lampara infrarroja de horno 2500 W,Sopladora PET,Horno de precalentamiento,OEM,un,BOD-LINEA,236.42,82,120,5,30,1,31
RB-10039,Reflector ceramico de horno,Sopladora PET,Horno de precalentamiento,OEM,un,BOD-LINEA,271.53,11,117,5,29,1,5
RB-10040,Molde de cavidad PET 500 ml,Sopladora PET,Estacion de soplado,OEM,un,BOD-LINEA,15239.96,0,132,5,9,1,1
RB-10041,Fondo de molde intercambiable PET,Sopladora PET,Estacion de soplado,OEM,un,BOD-LINEA,4377.78,2,188,5,23,1,1
RB-10042,Valvula de soplado de alta presion 40 bar,Sopladora PET,Estacion de soplado,OEM,un,BOD-LINEA,2370.01,4,138,5,8,1,1
RB-10043,Kit de sellos para valvula de soplado,Sopladora PET,Estacion de soplado,OEM,un,BOD-LINEA,358.09,10,123,5,11,1,2
RB-10044,Varilla de estiraje con guia,Sopladora PET,Estacion de soplado,OEM,un,BOD-LINEA,902.02,5,126,5,42,1,2
RB-10045,Pinza de transferencia de preformas,Sopladora PET,Rueda de transferencia,OEM,un,BOD-LINEA,483.76,8,110,5,20,1,0
RB-10046,Estrella de transferencia de botellas,Sopladora PET,Salida de sopladora,OEM,un,BOD-LINEA,1845.66,3,116,5,28,1,2
RB-10047,Mandril de sujecion de preforma,Sopladora PET,Horno de precalentamiento,OEM,un,BOD-LINEA,172.92,43,141,5,21,1,8
RB-10048,Filtro coalescente aire alta presion 40 bar,Sopladora PET,Aire de soplado,Importado,un,BOD-LINEA,893.73,11,91,5,34,2,7
RB-10049,Elemento separador aceite compresor alta,Sopladora PET,Compresor de alta presion,Importado,un,BOD-LINEA,1781.74,4,80,5,36,2,2
RB-10050,Kit mayor de reparacion compresor 40 bar,Sopladora PET,Compresor de alta presion,Importado,un,BOD-LINEA,28188.52,0,186,5,10,1,0
RB-10051,Sensor de temperatura pirometro infrarrojo,Sopladora PET,Horno de precalentamiento,OEM,un,BOD-LINEA,1703.78,1,151,5,17,1,2
RB-10052,Valvula de llenado electroneumatica completa,Llenadora,Llenadora rotativa,OEM,un,BOD-LINEA,4661.36,3,183,5,28,1,2
RB-10053,Kit de juntas para valvula de llenado,Llenadora,Llenadora rotativa,OEM,un,BOD-LINEA,67.74,125,99,5,13,1,117
RB-10054,Sonda de nivel de llenado inox,Llenadora,Llenadora rotativa,OEM,un,BOD-LINEA,465.89,43,156,5,15,1,16
RB-10055,Centrador de botella con resorte,Llenadora,Llenadora rotativa,OEM,un,BOD-LINEA,224.67,21,108,5,9,1,24
RB-10056,Estrella de entrada a llenadora,Llenadora,Transferencia de entrada,OEM,un,BOD-LINEA,1501.43,2,156,5,18,1,1
RB-10057,Tornillo sinfin de temporizacion,Llenadora,Transferencia de entrada,OEM,un,BOD-LINEA,2015.68,1,114,5,33,1,1
RB-10058,Guia lateral de botella UHMW,Llenadora,Transferencia de entrada,Nacional,m,BOD-LINEA,65.44,77,16,4,16,2,76
RB-10059,Rodamiento de rodillos de mesa rotativa,Llenadora,Llenadora rotativa,Importado,un,BOD-LINEA,2420.46,1,112,5,27,2,1
RB-10060,Junta rotativa de distribucion de producto,Llenadora,Llenadora rotativa,OEM,un,BOD-LINEA,5358.42,0,176,5,13,1,2
RB-10061,Servomotor de accionamiento de llenadora,Llenadora,Accionamiento principal,OEM,un,BOD-LINEA,10628.22,0,163,5,36,1,2
RB-10062,Anillo de desgaste de campana de llenado,Llenadora,Llenadora rotativa,OEM,un,BOD-LINEA,51.73,339,91,5,30,1,126
RB-10063,Cabezal de torque magnetico regulable,Capsuladora,Capsuladora rotativa,OEM,un,BOD-LINEA,2712.32,2,159,5,25,1,0
RB-10064,Embrague magnetico de cabezal,Capsuladora,Capsuladora rotativa,OEM,un,BOD-LINEA,821.05,3,138,5,8,1,1
RB-10065,Mordaza de sujecion de tapa,Capsuladora,Capsuladora rotativa,OEM,un,BOD-LINEA,128.1,35,99,5,15,1,1
RB-10066,Resorte de compresion de cabezal,Capsuladora,Capsuladora rotativa,OEM,un,BOD-LINEA,32.93,158,106,5,20,2,45
RB-10067,Orientador de tapas con soplador,Capsuladora,Alimentacion de tapas,OEM,un,BOD-LINEA,4113.47,0,147,4,28,1,2
RB-10068,Riel de bajada de tapas inox,Capsuladora,Alimentacion de tapas,Nacional,un,BOD-LINEA,397.09,2,37,4,8,2,0
RB-10069,Sensor inductivo de presencia de tapa,Capsuladora,Alimentacion de tapas,Importado,un,BOD-LINEA,97.91,22,31,4,10,4,0
RB-10070,Rodillo de cola cromado,Etiquetadora,Etiquetadora de cola fria,OEM,un,BOD-CENTRAL,1229.45,1,135,4,10,1,2
RB-10071,Paleta de cola de goma,Etiquetadora,Etiquetadora de cola fria,OEM,un,BOD-CENTRAL,238.48,16,149,4,9,1,4
RB-10072,Cepillo de presion de etiqueta,Etiquetadora,Estacion de aplicacion,OEM,un,BOD-CENTRAL,85.71,21,119,4,26,2,4
RB-10073,Esponja de aplicacion de etiqueta,Etiquetadora,Estacion de aplicacion,Nacional,un,BOD-CENTRAL,30.82,174,24,4,29,3,3
RB-10074,Bomba de hotmelt con manguera calefaccionada,Etiquetadora,Sistema hotmelt,Importado,un,BOD-CENTRAL,5699.79,0,132,4,17,2,1
RB-10075,Boquilla aplicadora de hotmelt,Etiquetadora,Sistema hotmelt,Importado,un,BOD-CENTRAL,508.28,14,76,4,30,2,5
RB-10076,Resistencia calefactora de tanque hotmelt,Etiquetadora,Sistema hotmelt,Importado,un,BOD-CENTRAL,352.71,13,63,4,31,1,0
RB-10077,Filtro de hotmelt 100 mesh,Etiquetadora,Sistema hotmelt,Importado,un,BOD-CENTRAL,58.12,47,62,4,8,3,11
RB-10078,Cuchilla de corte de etiqueta rotativa,Etiquetadora,Modulo de corte,OEM,un,BOD-CENTRAL,966.28,9,124,4,33,1,0
RB-10079,Correa dentada de transmision etiquetadora,Etiquetadora,Transmision,Importado,un,BOD-CENTRAL,250.34,11,46,4,12,3,5
RB-10080,Plato giratorio de botella,Etiquetadora,Carrusel,OEM,un,BOD-CENTRAL,753.95,9,136,4,17,1,4
RB-10081,"Cadena de charnela acetal 3"" 1 m",Transporte,Transportador de botellas,Nacional,m,BOD-CENTRAL,78.92,268,17,4,15,4,68
RB-10082,"Cadena de charnela inox 3,25""",Transporte,Transportador de cajas,Importado,m,BOD-CENTRAL,171.37,33,39,4,12,3,9
RB-10083,Guia de deslizamiento UHMW 40x10,Transporte,Transportador de botellas,Nacional,m,BOD-CENTRAL,17.15,892,16,3,10,5,291
RB-10084,"Motorreductor 0,55 kW con brida",Transporte,Accionamiento de transportador,Importado,un,BOD-CENTRAL,673.17,8,69,3,8,3,7
RB-10085,Pinon de accionamiento acetal Z=21,Transporte,Accionamiento de transportador,Nacional,un,BOD-CENTRAL,76.13,25,23,3,10,4,3
RB-10086,Rodamiento rigido de bolas 6205 2RS,Transporte,Rodillos de transporte,Importado,un,BOD-CENTRAL,16.39,446,22,3,23,5,98
RB-10087,Fotocelda reflex M18 con reflector,Transporte,Control de acumulacion,Importado,un,BOD-CENTRAL,125.19,83,23,3,7,4,49
RB-10088,Boquilla de lubricacion de cadena,Transporte,Lubricacion de cadenas,Nacional,un,BOD-CENTRAL,22.51,184,18,2,7,4,18
RB-10089,Bomba dosificadora de lubricante de cadena,Transporte,Lubricacion de cadenas,Importado,un,BOD-CENTRAL,1186.5,1,76,3,19,2,0
RB-10090,Curva de transporte con guia lateral,Transporte,Transportador de botellas,Nacional,un,BOD-CENTRAL,429.33,7,32,3,22,3,4
RB-10091,Resistencia de tunel de termocontraccion,Empacadora,Tunel de retractil,Importado,un,BOD-CENTRAL,226.42,26,68,4,28,3,0
RB-10092,Ventilador de recirculacion de tunel,Empacadora,Tunel de retractil,Importado,un,BOD-CENTRAL,1331.27,1,104,4,13,2,2
RB-10093,Correa de malla inox de tunel,Empacadora,Tunel de retractil,Importado,un,BOD-CENTRAL,2831.96,0,80,4,31,2,0
RB-10094,Cuchilla de sellado transversal,Empacadora,Envolvedora de film,OEM,un,BOD-CENTRAL,827.57,5,107,4,30,1,2
RB-10095,Teflon adhesivo para barra de sellado,Empacadora,Envolvedora de film,Nacional,m,BOD-CENTRAL,35.93,106,19,4,8,4,4
RB-10096,Rodillo desbobinador de film,Empacadora,Envolvedora de film,OEM,un,BOD-CENTRAL,932.64,1,135,4,8,1,0
RB-10097,Ventosa de vacio 60 mm con fuelle,Empacadora,Cabezal de agrupacion,Importado,un,BOD-CENTRAL,39.45,45,33,4,32,2,13
RB-10098,Pinza neumatica de capa completa,Paletizado,Paletizador,OEM,un,BOD-CENTRAL,4350.67,0,176,4,29,1,2
RB-10099,Cilindro neumatico ISO 15552 63x300,Paletizado,Paletizador,Importado,un,BOD-CENTRAL,226.12,24,51,4,12,3,3
RB-10100,Servo drive de eje vertical 5 kW,Paletizado,Paletizador,OEM,un,BOD-CENTRAL,9726.99,0,174,4,23,1,1
RB-10101,Encoder absoluto multivuelta,Paletizado,Paletizador,Importado,un,BOD-CENTRAL,1940.34,1,69,4,27,2,2
RB-10102,Cadena de rodillos ASA 80 simple,Paletizado,Transporte de pallets,Nacional,m,BOD-CENTRAL,63.65,48,17,3,14,3,17
